Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5265251 A: 1451829
APM: [MLAgent] S: 5265350 A: 1451829
APM: [MLAgent] S: 5265450 A: 1451829
APM: [MLAgent] S: 5265551 A: 1451829
APM: [MLAgent] S: 5265650 A: 1451829
APM: [MLAgent] S: 5265750 A: 1451829
APM: [MLAgent] S: 5265851 A: 1451829
APM: [MLAgent] S: 5265950 A: 1451829
APM: [MLAgent] S: 5266050 A: 1451829
APM: [MLAgent] S: 5266151 A: 1451829
APM: [MLAgent] S: 5266250 A: 1451829
APM: [MLAgent] S: 5266350 A: 1451829
APM: [MLAgent] S: 5266450 A: 1451829
APM: [MLAgent] S: 5266550 A: 1451829
APM: [MLAgent] S: 5266650 A: 1451829
APM: [MLAgent] S: 5266751 A: 1451829
APM: [MLAgent] S: 5266850 A: 1451829
APM: [MLAgent] S: 5266950 A: 1451829
APM: [MLAgent] S: 5267050 A: 1451829
APM: [MLAgent] S: 5267150 A: 1451829
APM: [MLAgent] S: 5267250 A: 1451829
APM: [MLAgent] S: 5267350 A: 1451829
APM: [MLAgent] S: 5267450 A: 1451829
APM: [MLAgent] S: 5267550 A: 1451829
APM: [MLAgent] S: 5267650 A: 1451829
APM: [MLAgent] S: 5267750 A: 1451829
APM: [MLAgent] S: 5267850 A: 1451829
APM: [MLAgent] S: 5267950 A: 1451829
APM: [MLAgent] S: 5268050 A: 1451829
APM: [MLAgent] S: 5268150 A: 1451829
APM: [MLAgent] S: 5268251 A: 1451829
APM: [MLAgent] S: 5268350 A: 1451829
APM: [MLAgent] S: 5268450 A: 1451829
APM: [MLAgent] S: 5268550 A: 1451829
APM: [MLAgent] S: 5268650 A: 1451829
APM: [MLAgent] S: 5268750 A: 1451829
APM: [MLAgent] S: 5268851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5268950 A: 1451829
APM: [MLAgent] S: 5269050 A: 1451829
APM: [MLAgent] S: 5269150 A: 1451829
APM: [MLAgent] S: 5269250 A: 1451829
APM: [MLAgent] S: 5269350 A: 1451829
APM: [MLAgent] S: 5269451 A: 1451829
APM: [MLAgent] S: 5269550 A: 1451829
APM: [MLAgent] S: 5269650 A: 1451829
APM: [MLAgent] S: 5269751 A: 1451829
APM: [MLAgent] S: 5269850 A: 1451829
APM: [MLAgent] S: 5269950 A: 1451829
APM: [MLAgent] S: 5270050 A: 1451829
APM: [MLAgent] S: 5270150 A: 1451829
APM: [MLAgent] S: 5270250 A: 1451829
APM: [MLAgent] S: 5270350 A: 1451829
APM: [MLAgent] S: 5270450 A: 1451829
APM: [MLAgent] S: 5270550 A: 1451829
APM: [MLAgent] S: 5270650 A: 1451829
APM: [MLAgent] S: 5270750 A: 1451829
APM: [MLAgent] S: 5270850 A: 1451829
APM: [MLAgent] S: 5270950 A: 1451829
APM: [MLAgent] S: 5271050 A: 1451829
APM: [MLAgent] S: 5271150 A: 1451829
APM: [MLAgent] S: 5271250 A: 1451829
APM: [MLAgent] S: 5271350 A: 1451829
APM: [MLAgent] S: 5271450 A: 1451829
APM: [MLAgent] S: 5271550 A: 1451829
APM: [MLAgent] S: 5271650 A: 1451829
APM: [MLAgent] S: 5271750 A: 1451829
APM: [MLAgent] S: 5271851 A: 1451829
APM: [MLAgent] S: 5271950 A: 1451829
APM: [MLAgent] S: 5272050 A: 1451829
APM: [MLAgent] S: 5272150 A: 1451829
APM: [MLAgent] S: 5272250 A: 1451829
APM: [MLAgent] S: 5272350 A: 1451829
APM: [MLAgent] S: 5272450 A: 1451829
APM: [MLAgent] S: 5272550 A: 1451829
APM: [MLAgent] S: 5272650 A: 1451829
APM: [MLAgent] S: 5272751 A: 1451829
APM: [MLAgent] S: 5272850 A: 1451829
APM: [MLAgent] S: 5272950 A: 1451829
APM: [MLAgent] S: 5273051 A: 1451829
APM: [MLAgent] S: 5273150 A: 1451829
APM: [MLAgent] S: 5273250 A: 1451829
APM: [MLAgent] S: 5273350 A: 1451829
APM: [MLAgent] S: 5273450 A: 1451829
APM: [MLAgent] S: 5273550 A: 1451829
APM: [MLAgent] S: 5273651 A: 1451829
APM: [MLAgent] S: 5273750 A: 1451829
APM: [MLAgent] S: 5273850 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5273951 A: 1451829
APM: [MLAgent] S: 5274050 A: 1451829
APM: [MLAgent] S: 5274150 A: 1451829
APM: [MLAgent] S: 5274251 A: 1451829
APM: [MLAgent] S: 5274350 A: 1451829
APM: [MLAgent] S: 5274450 A: 1451829
APM: [MLAgent] S: 5274550 A: 1451829
APM: [MLAgent] S: 5274650 A: 1451829
APM: [MLAgent] S: 5274750 A: 1451829
APM: [MLAgent] S: 5274851 A: 1451829
APM: [MLAgent] S: 5274950 A: 1451829
APM: [MLAgent] S: 5275050 A: 1451829
APM: [MLAgent] S: 5275150 A: 1451829
APM: [MLAgent] S: 5275250 A: 1451829
APM: [MLAgent] S: 5275350 A: 1451829
APM: [MLAgent] S: 5275451 A: 1451829
APM: [MLAgent] S: 5275550 A: 1451829
